codigo,nombre,precio,iva,deposito,codigo_barras,stock_min,stock
2000264,ESPORIL 150MG X 4 CAPS,0.0,5,INTERNADO(3),7841141001135,0.0,0.0
2000264,ESPORIL 150MG X 4 CAPS,0.0,5,QUIROFANO(4),7841141001135,0.0,0.0
2000265,ESTRAPLUS AEROSOL X 200 DOSIS,0.0,5,URGENCIAS(2),7730215000443,0.0,0.0
2000265,ESTRAPLUS AEROSOL X 200 DOSIS,0.0,5,INTERNADO(3),7730215000443,0.0,0.0
2000265,ESTRAPLUS AEROSOL X 200 DOSIS,0.0,5,QUIROFANO(4),7730215000443,0.0,0.0
2000266,ETIBAC 100MG X 1 AMP (COLISTINA),0.0,5,URGENCIAS(2),7841134007274,0.0,0.0
2000266,ETIBAC 100MG X 1 AMP (COLISTINA),0.0,5,INTERNADO(3),7841134007274,0.0,0.0
2000266,ETIBAC 100MG X 1 AMP (COLISTINA),0.0,5,QUIROFANO(4),7841134007274,0.0,0.0
2000267,ETIBLOKER 10MG X 30 COMP (NEBIVOLOL),0.0,5,URGENCIAS(2),7841134007892,0.0,0.0
2000267,ETIBLOKER 10MG X 30 COMP (NEBIVOLOL),0.0,5,INTERNADO(3),7841134007892,0.0,0.0
2000267,ETIBLOKER 10MG X 30 COMP (NEBIVOLOL),0.0,5,QUIROFANO(4),7841134007892,0.0,0.0
2000268,ETIBLOKER 5 MG X 30 COMP.,0.0,5,URGENCIAS(2),7841134006246,0.0,0.0
2000268,ETIBLOKER 5 MG X 30 COMP.,0.0,5,INTERNADO(3),7841134006246,0.0,0.0
2000268,ETIBLOKER 5 MG X 30 COMP.,0.0,5,QUIROFANO(4),7841134006246,0.0,0.0
2000269,ETIDOL 400MG X 10 CAPS BLANDAS,0.0,5,URGENCIAS(2),7841134009926,0.0,0.0
2000269,ETIDOL 400MG X 10 CAPS BLANDAS,0.0,5,INTERNADO(3),7841134009926,0.0,0.0
2000269,ETIDOL 400MG X 10 CAPS BLANDAS,0.0,5,QUIROFANO(4),7841134009926,0.0,0.0
2000270,ETIDOL PLUS X 10 CAPS,0.0,5,URGENCIAS(2),7841134010564,0.0,0.0
2000270,ETIDOL PLUS X 10 CAPS,0.0,5,INTERNADO(3),7841134010564,0.0,0.0
2000270,ETIDOL PLUS X 10 CAPS,0.0,5,QUIROFANO(4),7841134010564,0.0,0.0
2000271,ETIMICIN 200MG SUSP X 30ML,0.0,5,URGENCIAS(2),7841134000602,0.0,0.0
2000271,ETIMICIN 200MG SUSP X 30ML,0.0,5,INTERNADO(3),7841134000602,0.0,0.0
2000271,ETIMICIN 200MG SUSP X 30ML,0.0,5,QUIROFANO(4),7841134000602,0.0,0.0
2000272,ETIMICIN 500MG X 6 COMP,0.0,5,URGENCIAS(2),7841134000619,0.0,0.0
2000272,ETIMICIN 500MG X 6 COMP,0.0,5,INTERNADO(3),7841134000619,0.0,0.0
2000272,ETIMICIN 500MG X 6 COMP,0.0,5,QUIROFANO(4),7841134000619,0.0,0.0
2000273,ETISONA 3 SOLUCION X 100ML,0.0,5,URGENCIAS(2),7841134005515,0.0,0.0
2000273,ETISONA 3 SOLUCION X 100ML,0.0,5,INTERNADO(3),7841134005515,0.0,0.0
2000273,ETISONA 3 SOLUCION X 100ML,0.0,5,QUIROFANO(4),7841134005515,0.0,0.0
2000274,"EUROCOR 2,5MG X 35 COMP",0.0,5,URGENCIAS(2),7800060416376,0.0,0.0
2000274,"EUROCOR 2,5MG X 35 COMP",0.0,5,INTERNADO(3),7800060416376,0.0,0.0
2000274,"EUROCOR 2,5MG X 35 COMP",0.0,5,QUIROFANO(4),7800060416376,0.0,0.0
2000275,EUROCOR 5 MG X 35 COMP,0.0,5,URGENCIAS(2),7800060416451,0.0,0.0
2000275,EUROCOR 5 MG X 35 COMP,0.0,5,INTERNADO(3),7800060416451,0.0,0.0
